no   Ns  j   prob
160  10  2   7.310538880034301e-06
165  10  2   4.196898337971433e-06
170  10  2   2.3534217780118993e-06
175  10  2   1.288832338630641e-06
180  10  2   6.891971203737413e-07
185  10  2   3.597983527781068e-07
190  10  2   1.8333958218264002e-07
195  10  2   9.116802313080541e-08
200  10  2   4.423050414814611e-08
10   50  0   0.38505099437897594
15   50  0   0.49620085806672865
20   50  0   0.5691976639504719
25   50  0   0.6149307708043612
30   50  0   0.6417439009116328
35   50  0   0.6554984301236024
40   50  0   0.6600805617237195
45   50  0   0.6579775087266636
50   50  0   0.6507581664895312
55   50  0   0.6394191704025751
60   50  0   0.6246135419796016
65   50  0   0.6067944564004308
70   50  0   0.5863036314392102
75   50  0   0.5634255787703487
80   50  0   0.5384212402387543
85   50  0   0.5115489856553243
90   50  0   0.4830774590284016
95   50  0   0.45329273962566063
100  50  0   0.42250118616935983
105  50  0   0.39102877638802513
110  50  0   0.35921750694752363
115  50  0   0.327419344630138
120  50  0   0.2959882384506719
125  50  0   0.26527076373383696
130  50  0   0.23559603815849117
135  50  0   0.20726560069921252
140  50  0   0.1805439584915315
145  50  0   0.15565047185953196
150  50  0   0.13275315922106923
155  50  0   0.11196486403003736
160  50  0   0.09334204531108614
165  50  0   0.07688624780808839
170  50  0   0.06254809753137769
175  50  0   0.050233475190116894
180  50  0   0.03981136369066762
185  50  0   0.03112276221489918
190  50  0   0.023990017415430942
195  50  0   0.01822594326712068
200  50  0   0.013642178667665594
10   50  1   0.061976291106915715
15   50  1   0.1443667452041184
20   50  1   0.22211876369304606
25   50  1   0.2879974897922982
30   50  1   0.34001444245421775
35   50  1   0.37874014283670154
40   50  1   0.40580029140874085
45   50  1   0.4230605600051489
50   50  1   0.4322456695190733
55   50  1   0.4348078428653924
60   50  1   0.431919481498795
65   50  1   0.42451595039696255
70   50  1   0.413350358356538
75   50  1   0.3990437909123655
80   50  1   0.38212563408343814
85   50  1   0.36306359090869433
90   50  1   0.34228475225526345
95   50  1   0.32018942449992516
100  50  1   0.29715925085592754
105  50  1   0.27356089238767123
110  50  1   0.24974630436568745
115  50  1   0.22605048515344972
120  50  1   0.20278747679242126
125  50  1   0.18024533528049125
130  50  1   0.15868074080151962
135  50  1   0.13831386499029463
140  50  1   0.11932404081810932
145  50  1   0.1018466843051391
150  50  1   0.08597179562330204
155  50  1   0.0717442254198909
160  50  1   0.05916573999843855
165  50  1   0.04819876886472374
170  50  1   0.03877158360126809
175  50  1   0.03078455056328766
180  50  1   0.02411703109511587
185  50  1   0.018634477147777773
190  50  1   0.014195287586096561
195  50  1   0.01065704634871889
200  50  1   0.007881849003921304
10   50  2   -0.03405952329220141
15   50  2   -0.0023840008320377137
20   50  2   0.03890486278344907
25   50  2   0.08305521044787079
30   50  2   0.12541094161359423
